token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0xa06591252908576a0f64a8560ec0c8051782377c,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2129879699092693485331091333,0x4e2174ec6565c67b1b209b34d7e9468fb12cbd38663889a5124cf47049515f27,414,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa06591252908576a0f64a8560ec0c8051782377c,380000000000000000,0x4e2174ec6565c67b1b209b34d7e9468fb12cbd38663889a5124cf47049515f27,415,18978723
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x17cc6042605381c158d2adab487434bde79aa61c,21298796990926934853310913,0x4e2174ec6565c67b1b209b34d7e9468fb12cbd38663889a5124cf47049515f27,417,18978723
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x1f11a74f4b72ff353abbe9fcaf3382c08b1fe0d5,2108580902101766550477780420,0x4e2174ec6565c67b1b209b34d7e9468fb12cbd38663889a5124cf47049515f27,418,18978723
0xda31d0d1bc934fc34f7189e38a413ca0a5e8b44f,0xe21876afd4c632b22870df250e5df1754c1875e8,0x4f28728d22f8c2e2c9083b1851ff9414195f1813,2541572915698585411929,0xac6007e375a4702fbd694f4bca8e5a4aaeee0759edf69b0be7f98e78df7d6366,421,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xe21876afd4c632b22870df250e5df1754c1875e8,3040000000000000000,0xac6007e375a4702fbd694f4bca8e5a4aaeee0759edf69b0be7f98e78df7d6366,422,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x4a5446832089616a3ee6d602fd0252789a765f50,0xbafbb0e7dc78c0850ff20c5d6343ea8c4e308a3a,500000000,0xbc73c4f617be2d34fb201afeab3a1438008a48751dfa73ea9faceae8b1784c7b,424,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa06591252908576a0f64a8560ec0c8051782377c,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,1383809018924753394,0xdf27626401303d9650231997843dad71694147a33d300adba0d820b8913ecbdb,427,18978723
0x423f4e6138e475d85cf7ea071ac92097ed631eea,0x9c298985c83a21ef832f757c34c66fed18146245,0xa06591252908576a0f64a8560ec0c8051782377c,7837525263984061769117652640,0xdf27626401303d9650231997843dad71694147a33d300adba0d820b8913ecbdb,428,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x00befcb6fd36dd54127eae3bab1ff39538da49dd,270000000000000000,0x2012f09e89ab31dde7037f146ae5f4c39e1b6063250778662c4da11915c2dfae,432,18978723
0xeac32927cf2785cbe0d515298cab448538a8cdd7,0x00befcb6fd36dd54127eae3bab1ff39538da49dd,0x10b9c1b7063280bfce1b491b4c08ac24dc004d97,181603235955360,0x2012f09e89ab31dde7037f146ae5f4c39e1b6063250778662c4da11915c2dfae,433,18978723
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x62fd29560761a78f09e9ae2b39e309b45fe0f3e3,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,50000000,0x4f78fa8e7ba348e11f1a88db36405b4a401fa5ce8c371ef9a72736014e2e3314,436,18978723
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,50000000,0x4f78fa8e7ba348e11f1a88db36405b4a401fa5ce8c371ef9a72736014e2e3314,437,18978723
0x1294f4183763743c7c9519bec51773fb3acd78fd,0x937c7d9969102dd14e2b34c340396f262b1b9706,0x42bdd5167481650e2b7215580832f28f5d90a189,532698165798516781086106,0xf885c4b2d6ca510820283e5eac466de7597b4f13b3003c663d1a7db78f4c13cb,440,18978723
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x722b7fda3af8afc03c20a05b81f916608dadc518,0xf773efbb475217c87d430ddc4869ccf4c19d9ac5,117810000,0x0d236fde3e89f1398cf5c306545d06a48e2a529adff064ba37469f838ae2b0eb,444,18978723
0x0000000000a39bb272e79075ade125fd351887ac,0xe6da1d19fdcec179ba9755f2c6139f8ffecbfeb0,0x0000000000000000000000000000000000000000,2000000000000000000,0xd03a5321096255dd749699a4e4a9f2df1789bf970302c45617c0e3869b6ce395,445,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x3e0f60ccf1cc5a21b05d9d0bd45dfa33f2a8b83e,0xbe88491a419b4462ac89047863fbd6d58f8ffd0d,50000000000,0xade660fd5b2f2e9478471de29cc6770d673d3b85489730b147497bb322c3543b,453,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x171c53d55b1bcb725f660677d9e8bad7fd084282,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1681857000000,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,454,18978723
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,0x11950d141ecb863f01007add7d1a342041227b58,6436069036316764864,0xca1f6f54ab136cce7af58e2249346b05974d996809f8b16442fcea4bf114474a,11,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,1387532025000,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,455,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x402c7f2c17a0bfc9117b4f7e71456a8c69388eb6,0xaead78e74fccf70a1bb7eadd774a6c503232098e,11000000000,0xd2f386ad54b4a0ca2fb1f878a89e72e2a78933250a61ea90f61b103a4f95fd82,111,18978723
0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,0x802920f421be5873f53ebdd8d88778fc94fd9186,0xacfc50ec5fe0fd039e83380b8ab343b77a49704f,90970000000000000000000,0xd611e962a27093579d514c15ecced0da3fd67d386ab8522a4f922180c68553d8,13,18978723
0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,0xf6d1787ff52afd872156f764569f7b819c38e63e,0xf2b15283d7331e5cd10bb8e2a9c2440e10925121,13417111860277377276332,0x18bffd83b58920d888c869f03cf275c24c6dd8aad1530a7b9501931980fea879,213,18978723
0x6b175474e89094c44da98b954eedeac495271d0f,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1387804127548423375165808,0x044348c7168b8563dcf794004bc941ff980a33dd9e50b23c68e326307dfe561c,456,18978723
0xdac17f958d2ee523a2206206994597c13d831ec7,0x27317df4264ead2abc85a46947ab604014531915,0x0857ef8f89485ab841b8005320ebe847e65f28b8,6000000000,0x06dc6f0274bca74ddabe26ae0be5be8d6720ff559559a32406808dab79fa8402,312,18978723
